reservation_id;time_of_reservation;start_of_reservation;end_of_reservation;type_of_reservation;able_to_serve;endtype_of_reservation;length_of_reservation;VM_type;reserved_memory;reserved_cores;host_ID
5337;2014.01.24 15:17;2014.01.24 15:20;2014.01.24 15:27;now;1;released;0.1786;Windows7;4096;2;394
5338;2014.01.24 15:28;2014.01.24 15:32;2014.01.24 15:33;now;1;released;0.0867;Windows7;4096;2;396
5339;2014.01.24 15:29;2014.01.24 15:33;2014.01.24 16:25;now;1;released;0.9272;Windows7;4096;2;397
5340;2014.01.27 7:47;2014.01.27 7:48;2014.01.27 16:00;now;1;none;8.2022;Windows7;4096;2;397
5341;2014.01.27 11:27;2014.01.27 11:31;2014.01.27 11:46;now;1;noack;0.3050;ITLab1 MIT2 Client;2048;1;396
5342;2014.01.28 7:06;2014.01.28 7:07;2014.01.28 7:09;now;1;released;0.0475;ITLab1 MIT2 Client;2048;1;396
5343;2014.01.28 7:26;2014.01.28 7:30;2014.01.28 7:32;now;1;released;0.1044;ITLab1 MIT2 Client;2048;1;397
5344;2014.02.01 11:31;2014.02.01 11:32;2014.02.01 11:51;now;1;released;0.3300;ITLab1 MIT2 Client;2048;1;396
5345;2014.02.01 11:39;2014.02.01 11:41;2014.02.01 11:51;now;1;released;0.2011;NFS Server;1024;1;397
5346;2014.02.01 14:27;2014.02.01 14:31;2014.02.01 14:55;now;1;released;0.4672;IRFWindows8;2048;1;397
5347;2014.02.03 11:19;2014.02.03 11:20;2014.02.03 11:58;now;1;released;0.6631;ITLab1 MIT2 Client;2048;1;396
5348;2014.02.03 11:19;2014.02.03 11:21;2014.02.03 11:59;now;1;released;0.6606;NFS Server;1024;1;394
5349;2014.02.03 13:59;2014.02.03 14:00;2014.02.03 14:02;now;1;released;0.0506;NFS Server;1024;1;394
5350;2014.02.10 13:16;NULL;2014.02.10 13:16;now;1;failed;0.0072;CentOS 6.4 base;4096;2;401
5351;2014.02.10 13:18;2014.02.10 13:19;2014.02.10 13:30;now;1;released;0.2092;CentOS 6.4 base;4096;2;394
5352;2014.02.10 16:57;2014.02.10 17:01;2014.02.10 17:10;now;1;released;0.2172;VMware ESXi 5.5;4096;2;394
5353;2014.02.11 15:32;2014.02.11 15:35;2014.02.11 15:37;now;1;released;0.0883;IRF 2015 Windows 8.1 HF2;2048;1;398
5354;2014.02.11 18:09;2014.02.11 18:18;2014.02.11 18:19;now;1;released;0.1614;irflinux;1024;1;394
5355;2014.02.11 18:22;2014.02.11 18:26;2014.02.11 18:57;now;1;released;0.5836;VMware ESXi 5.5;4096;2;395
5355;2014.02.11 18:22;2014.02.11 18:26;2014.02.11 18:57;now;1;released;0.5836;NFS Server;1024;1;396
5355;2014.02.11 18:22;2014.02.11 18:26;2014.02.11 18:57;now;1;released;0.5836;ITLab1 MIT2 Client;2048;1;394
5356;2014.02.12 6:38;NULL;2014.02.12 6:49;now;1;failed;0.1931;irflinux;1024;1;394
5357;2014.02.12 7:37;2014.02.12 7:44;2014.02.12 7:45;now;1;released;0.1344;irflinux;1024;1;396
5358;2014.02.12 8:49;NULL;2014.02.12 8:50;now;1;failed;0.0200;irflinux;1024;1;402
5359;2014.02.13 12:40;2014.02.13 12:41;2014.02.13 12:56;now;1;nologin;0.2644;IRF 2015 Windows 8.1 HF2;2048;1;398
5360;2014.02.13 12:40;2014.02.13 12:40;2014.02.13 12:55;now;1;noack;0.2561;VMware ESXi 5.5;4096;2;395
5361;2014.02.13 17:13;2014.02.13 17:13;2014.02.13 17:15;now;1;released;0.0303;IRF 2015 Windows 8.1 HF2;2048;1;398
5362;2014.02.14 18:20;2014.02.14 18:20;2014.02.14 18:31;now;1;released;0.1903;IRF 2015 Windows 8.1 HF2;2048;1;398
5363;2014.02.14 18:32;2014.02.14 18:32;2014.02.14 18:48;now;1;nologin;0.2742;VMware ESXi 5.5;4096;2;395
5364;2014.02.14 18:54;2014.02.14 18:58;2014.02.14 19:27;now;1;released;0.5536;VMware ESXi 5.5;4096;2;396
5365;2014.02.15 20:03;2014.02.15 20:05;2014.02.20 20:14;now;1;EOR;120.1869;Ubuntu 12.10;8192;2;394
5366;2014.02.15 20:46;2014.02.15 20:48;2014.02.15 20:51;now;1;released;0.0689;CentOS 6.4 base;4096;2;400
5367;2014.02.17 18:36;2014.02.17 18:36;2014.02.17 18:51;now;1;noack;0.2611;IRF 2015 Windows 8.1 HF2;2048;1;398
5368;2014.02.18 17:25;2014.02.18 17:26;2014.02.18 17:34;now;1;released;0.1450;IRF 2015 Windows 8.1 HF2;2048;1;398
5369;2014.02.19 13:36;2014.02.19 13:38;2014.02.19 15:45;now;1;none;2.1350;Ubuntu 12.10;8192;2;400
5370;2014.02.19 16:36;2014.02.19 16:44;2014.02.19 16:44;now;1;released;0.1353;ITLab1 MIT2 Client;2048;1;401
5370;2014.02.19 16:36;2014.02.19 16:44;2014.02.19 16:44;now;1;released;0.1353;VMware ESXi 5.5;4096;2;397
5370;2014.02.19 16:36;2014.02.19 16:44;2014.02.19 16:44;now;1;released;0.1353;NFS Server;1024;1;399
5371;2014.02.19 16:58;2014.02.19 17:02;2014.02.20 15:32;now;1;released;22.5594;NFS Server;1024;1;398
5371;2014.02.19 16:58;2014.02.19 17:02;2014.02.20 15:32;now;1;released;22.5594;ITLab1 MIT2 Client;2048;1;396
5371;2014.02.19 16:58;2014.02.19 17:02;2014.02.20 15:32;now;1;released;22.5594;VMware ESXi 5.5;4096;2;398
5372;2014.02.19 23:19;2014.02.19 23:20;2014.02.19 23:36;now;1;nologin;0.2742;VMware ESXi 5.5;4096;2;395
5373;2014.02.20 7:00;2014.02.20 7:04;2014.02.20 7:47;now;1;released;0.7800;REMO 2014;3072;2;396
5374;2014.02.20 19:52;2014.02.20 19:56;2014.02.20 20:12;now;1;nologin;0.3325;IRF 2015 Windows 8.1 HF2;2048;1;394
5375;2014.02.20 19:52;2014.02.20 19:53;2014.02.20 20:08;now;1;nologin;0.2622;VMware ESXi 5.5;4096;2;395
5376;2014.02.20 20:24;2014.02.20 20:25;2014.02.20 21:28;now;1;timeout;1.0594;IRF 2015 Windows 8.1 HF2;2048;1;394
5377;2014.02.20 20:32;2014.02.20 20:36;2014.02.20 20:48;now;1;released;0.2550;IRF 2015 Windows 8.1 HF2;2048;1;395
5378;2014.02.20 20:33;2014.02.20 20:33;2014.02.20 20:46;now;1;released;0.2244;VMware ESXi 5.5;4096;2;397
5379;2014.02.20 20:48;2014.02.20 20:52;2014.02.20 21:15;now;1;nologin;0.4508;IRF 2015 Windows 8.1 HF2;2048;1;396
5380;2014.02.20 21:43;2014.02.20 21:44;2014.02.20 21:59;now;1;nologin;0.2600;VMware ESXi 5.5;4096;2;398
5381;2014.02.21 7:55;2014.02.21 7:56;2014.02.21 7:57;now;1;released;0.0389;VMware ESXi 5.5;4096;2;397
5382;2014.02.21 7:57;2014.02.21 7:58;2014.02.21 8:13;now;1;nologin;0.2611;VMware ESXi 5.5;4096;2;398
5383;2014.02.21 12:21;2014.02.21 12:21;2014.02.21 12:36;now;1;nologin;0.2572;VMware ESXi 5.5;4096;2;397
5384;2014.02.21 13:03;2014.02.21 13:03;2014.02.21 13:18;now;1;noack;0.2594;VMware ESXi 5.5;4096;2;398
5385;2014.02.21 13:21;2014.02.21 13:21;2014.02.21 13:37;now;1;nologin;0.2675;VMware ESXi 5.5;4096;2;395
5386;2014.02.21 16:37;2014.02.21 16:39;2014.02.21 20:45;now;1;EOR;4.1197;ITLab1 MIT1;1024;1;397
5387;2014.02.22 12:15;2014.02.22 12:15;2014.02.22 12:17;now;1;released;0.0425;ITLab1 MIT1;1024;1;397
5388;2014.02.22 21:57;2014.02.22 21:57;2014.02.22 22:02;now;1;released;0.0747;VMware ESXi 5.5;4096;2;397
5389;2014.02.22 22:02;2014.02.22 22:02;2014.02.22 23:05;now;1;timeout;1.0606;VMware ESXi 5.5;4096;2;398
5390;2014.02.22 22:05;2014.02.22 22:05;2014.02.22 22:21;now;1;nologin;0.2678;IRF 2015 Windows 8.1 HF2;2048;1;396
5391;2014.02.22 22:36;2014.02.22 22:37;2014.02.22 22:53;now;1;nologin;0.2856;IRF 2015 Windows 8.1 HF2;2048;1;394
5392;2014.02.22 23:03;2014.02.22 23:03;2014.02.22 23:26;now;1;timeout;0.3856;IRF 2015 Windows 8.1 HF2;2048;1;395
5393;2014.02.22 23:49;2014.02.22 23:50;2014.02.23 2:00;now;1;EOR;2.1756;VMware ESXi 5.5;4096;2;397
5394;2014.02.22 23:59;2014.02.22 23:59;2014.02.23 0:14;now;1;nologin;0.2594;VMware ESXi 5.5;4096;2;398
5395;2014.02.23 8:05;2014.02.23 8:06;2014.02.23 8:23;now;1;released;0.3008;VMware ESXi 5.5;4096;2;397
